,Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
129,n671,30,60.16518046,0,Infubinol,Male,18,25
134,o287,45,59.74190064,4,Ceftamin,Male,2,28
141,o809,35,55.62942846,1,Infubinol,Male,3,25
142,o813,5,45.69933088,0,Infubinol,Male,24,28
150,p438,45,61.43389223,1,Ceftamin,Female,11,26
153,q132,30,54.65654872,4,Infubinol,Female,1,30
154,q483,40,64.19234114,1,Ceftamin,Male,6,26
157,q597,45,45.22086888,2,Ramicane,Male,20,25
158,q610,35,36.56165229,2,Ramicane,Female,18,21
162,r157,15,46.53920617,0,Capomulin,Male,22,25
163,r554,45,32.37735684,3,Capomulin,Female,8,17
166,r811,45,37.22565033,1,Ramicane,Male,9,19
168,r921,30,43.41938077,1,Ramicane,Female,5,25
169,r944,45,41.58152074,2,Capomulin,Male,12,25
170,s121,25,55.65068132,2,Infubinol,Male,23,26
174,s185,45,23.34359787,1,Capomulin,Female,3,17
177,s508,45,30.27623175,0,Ramicane,Male,1,17
180,s710,45,40.72857787,1,Capomulin,Female,1,23
183,t565,45,34.45529799,0,Capomulin,Female,20,17
184,t573,0,45.0,0,Ceftamin,Female,15,27
188,u149,25,52.92534846,0,Ceftamin,Male,24,29
189,u153,0,45.0,0,Ceftamin,Female,11,25
190,u196,45,40.66771292,3,Ramicane,Male,18,25
192,u364,45,31.02392294,3,Capomulin,Male,18,17
197,v339,5,46.25011212,0,Infubinol,Male,20,26
200,v719,20,54.04860769,1,Infubinol,Female,17,30
202,v766,15,51.54243058,1,Infubinol,Male,16,27
204,v923,45,40.65812366,2,Capomulin,Female,19,21
208,w150,10,39.95234669,0,Capomulin,Male,23,23
209,w151,45,67.52748237,3,Ceftamin,Male,24,25
211,w193,20,50.00513807,0,Infubinol,Male,22,30
216,w584,30,58.26844248,1,Infubinol,Male,3,29
217,w678,5,43.16637266,0,Ramicane,Female,5,24
220,w914,45,36.04104736,2,Capomulin,Male,24,21
223,x226,0,45.0,0,Ceftamin,Male,23,28
226,x401,45,28.48403281,0,Capomulin,Female,16,15
228,x581,45,64.63494887,3,Ceftamin,Female,19,28
231,x822,45,61.38666032,3,Ceftamin,Male,3,29
233,y163,45,67.68556862,3,Infubinol,Female,17,27
235,y449,15,44.18345092,0,Ramicane,Male,19,24
238,y769,45,68.59474498,4,Ceftamin,Female,6,27
239,y793,45,31.8962384,2,Capomulin,Male,17,17
240,y865,45,64.72983655,3,Ceftamin,Male,23,26
244,z578,45,30.63869575,0,Ramicane,Male,11,16
245,z581,45,62.75445141,3,Infubinol,Female,24,25
